x,y
1035,1056
1035,1099
1035,1100
1036,757
1036,758
1036,759
1036,799
1036,800
1036,1056
1036,1057
1036,1098
1036,1099
1036,1100
1037,757
1037,758
1037,798
1037,799
1037,1057
1037,1072
1037,1098
1037,1099
1038,773
1038,798
1038,799
1038,1057
1038,1098
1038,1099
1039,1084
1040,783
1040,1072
1041,747
1041,748
1041,773
1041,809
1041,810
1041,1046
1041,1047
1041,1082
1041,1109
1042,747
1042,748
1042,773
1042,774
1042,775
1042,776
1042,781
1042,782
1042,783
1042,809
1042,810
1042,1046
1042,1047
1042,1073
1042,1074
1042,1075
1042,1081
1042,1082
1042,1083
1042,1109
1043,747
1043,748
1043,774
1043,775
1043,776
1043,781
1043,782
1043,783
1043,784
1043,809
1043,810
1043,1046
1043,1047
1043,1072
1043,1073
1043,1074
1043,1075
1043,1081
1043,1082
1043,1108
1043,1109
1044,748
1044,783
1044,784
1044,809
1044,1046
1044,1108
1051,1311
1051,1312
1052,1311
1052,1312
1053,732
1053,826
1053,1030
1053,1126
1053,1127
1053,1270
1053,1313
1054,725
1054,777
1054,780
1054,825
1054,826
1054,833
1054,1025
1054,1030
1054,1031
1054,1076
1054,1079
1054,1125
1054,1126
1054,1131
1054,1313
1055,711
1055,712
1055,723
1055,731
1055,732
1055,775
1055,782
1055,825
1055,826
1055,832
1055,834
1055,1023
1055,1030
1055,1031
1055,1074
1055,1081
1055,1125
1055,1126
1055,1133
1055,1268
1055,1269
1055,1272
1055,1273
1056,711
1056,712
1056,723
1056,724
1056,731
1056,732
1056,775
1056,776
1056,781
1056,782
1056,825
1056,826
1056,833
1056,834
1056,1023
1056,1024
1056,1030
1056,1031
1056,1074
1056,1075
1056,1080
1056,1081
1056,1125
1056,1126
1056,1132
1056,1133
1056,1268
1056,1269
1056,1272
1056,1273
1062,1272
1062,1273
1063,1272
1063,1273
1064,1313
1072,1314
1072,1315
1072,1321
1072,1322
1073,1314
1073,1315
1073,1321
1073,1322
1075,693
1075,1324
